Wave shift,Intensity
2001.505335,3733
2002.413811,3778
2003.321849,3862
2004.229448,3714
2005.136609,3710
2006.043331,3691
2006.949616,3696
2007.855462,3616
2008.760871,3549
2009.665841,4023
2010.570375,3636
2011.47447,3662
2012.378129,3853
2013.281351,3647
2014.184135,3846
2015.086483,3515
2015.988393,3598
2016.889868,3407
2017.790906,3732
2018.691507,3566
2019.591673,3506
2020.491402,3853
2021.390695,3794
2022.289553,3941
2023.187975,3797
2024.085962,3574
2024.983514,3779
2025.88063,3672
2026.777311,3891
2027.673557,3633
2028.569369,3619
2029.464746,3946
2030.359688,3785
2031.254197,3772
2032.148271,3891
2033.04191,3704
2033.935116,3837
2034.827889,3683
2035.720227,3754
2036.612132,3720
2037.503604,3692
2038.394642,3797
2039.285248,3788
2040.17542,3866
2041.06516,3811
2041.954466,3728
2042.843341,3653
2043.731783,3899
2044.619792,3703
2045.50737,3284
2046.394516,3864
2047.281229,3855
2048.167511,3496
2049.053362,3532
2049.938781,3337
2050.823768,3552
2051.708325,3824
2052.59245,3616
2053.476145,3704
2054.359409,3689
2055.242242,3565
2056.124645,3332
2057.006617,3812
2057.888159,3242
2058.769271,3549
2059.649953,3667
2060.530206,3527
2061.410028,3631
2062.289421,3364
2063.168385,3805
2064.046919,3438
2064.925025,3570
2065.802701,3912
2066.679949,3549
2067.556767,3623
2068.433157,3737
2069.309119,3863
2070.184652,3611
2071.059758,3625
2071.934435,3586
